"question","answers"
"Làm thế nào các tụ điện được sử dụng để điều chỉnh hệ số công suất được chuẩn bị?","là ba tụ được kết nối dưới dạng tải ba pha"
"Khi nào Trung Quốc bắt đầu xây dựng hệ thống BeiDou thứ ba?","giữa năm 2015"
"New York có những trò chơi triển lãm liên thành phố nào?","Subway Series"
"Làm thế nào phổ biến là niềm tin rằng không bao giờ nên trộn lẫn rượu và kháng sinh?","phổ biến"
"NES được nhân đôi trên phương tiện nào để tạo bản sao dễ sản xuất?",""
"Việc kiểm tra hộp đen đôi khi có thể được đề cập với khả năng xem mã là gì?","giống như đi bộ trong mê cung tối mà không có đèn pin."
"Ngọn núi nào là nơi hành hương linh thiêng cho cả người Ấn giáo và người Tây Tạng?","Núi Kailash"
"Nguesso giữ danh hiệu gì?","Tổng thống"
"Cô ấy thông báo có thai ở đâu?","2011 MTV Video Music Awards"
"HDI trong Báo cáo Phát triển Con người 2007/2008 dành cho năm nào?","2005"
"Những cơ sở nào đã làm nhà bia trở thành sau khi mua một giấy phép bổ sung?","quán rượu"
"Các phương tiện chính của đầu máy cho hầu hết các loài chim là gì?","Chuyến bay"
"Loại diode nào đã được sử dụng để giúp khám phá sự phát xạ ánh sáng gần hồng ngoại?","đường hầm"
"Những loại ý tưởng nào ông đã đặt ra mà tập trung vào các khía cạnh của chủ nghĩa nhân văn?","vô thần"
"Về mặt văn hoá, một người Do Thái Ashkenazi có thể được xác định bằng khái niệm gì?","Yiddishkeit"
"Có bao nhiêu người tham gia int he Parade of the Marksmen?","12"
"Trụ sở của UNESCO ở đâu?","Paris"
"Theo Gary Lewis của Liên Hợp Quốc, thách thức an ninh con người cấp bách nhất ở Iran là gì?","Sự khan hiếm nước"
"Gaddafi đã nhìn nhận ảnh hưởng của quân đội như thế nào?","cơ hội duy nhất để di chuyển xã hội đi lên cho những người Libya kém may mắn và Gaddafi nhận ra đây là một công cụ tiềm năng của thay đổi chính trị"
"Khi DNA có các dấu hiệu khác nhau, làm thế nào nó được trình bày trong thực vật?","ngăn vùng đó của mã DNA"
"Hai ví dụ về phương pháp và lý thuyết của khoa học nhận thức là gì?","tâm lý học thực nghiệm và sinh học tiến hoá"
"Frédéric có xu hướng gì trong thời thơ ấu là kết quả của sự xây dựng nhỏ bé của mình?","bệnh"
"Tên của cơ quan cơ khí Frédéric đã thực hiện vào năm 1825 là gì?","eolomelodicon"
"Điều gì đã làm cho hội nghị truyền hình tiếp cận được với nhiều người?","Tính khả dụng của phần mềm miễn phí"
"Làm thế nào là nhựa đường đá chủ yếu được tìm thấy?","tĩnh mạch"
"Thời đại Victoria của Vương quốc Anh là gì?","thời kỳ trị vì của Nữ hoàng Victoria"
"Phạm vi hiệu quả tối đa của súng trường Chassepot là gì?","1.500 mét (4.900 ft)"
"Thiếu trường học và đây là nguyên nhân chính của lao động trẻ em","Nghèo"
"Nền tảng gây quỹ cộng đồng nào đã được sử dụng trong buổi hoà nhạc?","Catapult"
"Điều gì quy định các đặc quyền của các vị vua?","Pacta conventa"
"Mất bao lâu để dập tắt một đĩa CD?","hai đến ba giây"
"Sức mua tương đương năm 2015 của Nigeria là gì?","1 nghìn tỷ đô la"
"Hoa Kỳ ném bom Libya vào năm nào?","1986"
"Mã lỗi nào khác cuối cùng đã được bảo hành bởi phần mở rộng bảo hành này?","E74"
"""Munich"" đã nhận được bao nhiêu đề cử Oscar?","năm"
"Các nhóm âm nhạc cạnh tranh để làm gì?","Giải thưởng Calypso Monarch"
"Dự án Gemini được xác nhận vào năm nào?","1962"
"Đội bóng nào đã sao chép màu đỏ hiện tại của Arsenal vào năm 1909?","Sparta Prague"
"Có bao nhiêu khách du lịch đã ghé thăm NYC trong năm 2014 đã phá vỡ kỷ lục?","56,4 triệu"
"Thuật ngữ lâu đời nhất cho Ai Cập là gì?","Akkadian"
"Một ví dụ về một quốc gia không có thuế thu được là gì?","Canada"
"Bao nhiêu năm xã hội chủ nghĩa đã cai trị khu vực?","mười bảy"
"Khi nào Nigeria lấy lại được nền dân chủ?","1999"
"Tên của sự đầu hàng có điều kiện đã kết thúc chiến đấu trên mặt trận phía tây là gì?","Hiệp định đình chiến"
"Khi nào các thuộc địa của Hà Lan bị Napoleon sáp nhập?","1810"
"Tên của hiệu ứng tạo màu đẹp gây ra trong một số loại gỗ do nấm sản xuất là gì?","spalting"
"Bảo tàng Philbrook ở đâu?","Tulsa"
"USSOC Pacific đã triển khai đến đâu vào tháng 1/2002?","Philippines"
"Tên thật của Madonna là gì?","Madonna Louise Ciccone"
"Thu nhập ròng trung bình của hộ gia đình ở Paris năm 2011 là bao nhiêu?","€ 36,085"
"Những loại điều kiện đặc hữu nào mà Hoạt động Hỗ trợ Con người đòi hỏi?","đau người, bệnh tật, đói hoặc tư nhân có thể đe doạ nghiêm trọng đến tính mạng"
"Công ty nào đã cung cấp cho New Haven các pin nhiên liệu hiện có trên toàn thành phố?","ClearEdge Power"
"Charles VII Chamberlain được lệnh phải làm gì?","leo lên Mont Aiguille"
"Những loại bố trí đường phố đã được sử dụng cho Philadelphia?","kế hoạch lưới"
"Toà án Yuan đã trao danh hiệu nào cho Tai Tình Changchub Gyaltsen?","Bộ trưởng Giáo dục"
"Nói chung là tháng nóng nhất ở Hyderabad là gì?","Tháng 5"
"Một bukeyashiki là gì?","biệt thự của một chiến binh"
"Ai là người đầu tiên dịch Philosophus Autodidactus sang tiếng Latin?","Edward Pococke the Younger"
"Tự do Huân chương của Tổng thống là gì?","giải thưởng dân sự cao nhất của Hoa Kỳ"
"Phong trào Nhân dân đã tổ chức đại hội thành lập ở đâu?","Kiev"
"Khi nào thì tinh thần cuối cùng được đề cập?","chỉ thị thời chiến thứ chín vào ngày 21 tháng 9 năm 1940"
"Khi nào các bức tranh khảm trong Nhà thờ Hồi giáo Lớn ở Corduba được tạo ra?","từ 965 đến 970"
"Phần nào của polychaete có thể bị đẩy ra?","yết hầu"
"Avicenna muốn làm gì với thần học Hồi giáo?","triết lý hợp lý"
"Khoảng bao nhiêu tổng số iPod đã được bán vào cuối năm 2009?","220 triệu"
"Ai có niềm tin mãnh liệt vào quyền tự quyết và phản đối Stalin vì điều này?","Tito"
"Thị trấn nào ở Đức luôn có hầu hết người nói tiếng Hà Lan?","Kleve"
"Cầu Arthur Ravenel Jr. bắc qua sông nào?","Sông Cooper"
"Challis đã tìm kiếm gì khi nhìn thấy Sao Hải Vương hai lần đầu tiên?","quan sát sao chổi"
"Điều gì được cải thiện bằng cách uốn cong các hướng ngược nhau ở mặt sau của PCB hai mặt?","độ bền cơ học của bộ phận"
"Nhà hát Hy Lạp hiện đại bị ảnh hưởng bởi những gì?","Heptanesean và melodrama"
"Trong bao lâu, Giáo hội Cải cách tuyên bố rằng canon đã được quản lý bởi các thành viên của nhà thờ?","1500 năm"
"De Materia Medica được viết về cái gì?","thuốc thảo dược"
"Những loại kích thích đã được tìm thấy để khơi dậy phụ nữ?","cả kích thích của con người và phi nhân"
"Trận chiến diễn ra khi nào?","27 tháng 5 năm 1644"
"Những người sống ở Hyderabad được gọi là gì?","Hyderabadi"
"Hoàng đế đã làm gì để đối phó với rất nhiều thất bại của người châu Âu?","Cải cách hàng trăm năm 1898"
"Những hệ thống xã hội nào có thể ảnh hưởng lớn đến việc ai đó nhận ra sở thích tình dục của họ?","tôn giáo, ngôn ngữ và truyền thống dân tộc"
"""Nederduits"" thường khiến mọi người trộn lẫn ngôn ngữ của Hà Lan với tiếng nói ở khu vực định hướng nào của Đức?","bắc"
"Ở nước nào đã bắt đầu phục hưng châu Âu?","Ý"
"Những loại transepts mà nhà thờ Anh thường có tính năng?","đôi trần"
"Trước khi thất bại, hiệp hội tiết kiệm và cho vay nào là người khởi tạo thế chấp lớn thứ bảy ở Hoa Kỳ?","IndyMac Bank"
"Trong tiếng Séc, một câu nội động từ có thể chỉ bao gồm những gì?","một động từ"
"Ngay sau cuộc nội chiến, nhánh nào của chính phủ được coi là có sức mạnh lớn hơn?","Quốc hội"
"Một lựa chọn kinh tế hơn cho xe bán tải từ tính là gì?","Pickup Crystal"
"Eugene Atget được biết đến với việc chụp ảnh là gì?","cảnh đường phố"
"Tất cả các giáo lý đã đọc tất cả các samurai?","Khổng Tử và Mạnh Tử"
"Đạo luật Hiến pháp đề cập đến thủ tướng trong bối cảnh các bộ trưởng khác?","bộ trưởng đầu tiên của liên bang và tỉnh"
"Augustine of Hippo bắt đầu định nghĩa thời gian bằng gì?","bằng những gì nó không hơn là những gì"
"Lịch sử nước Anh của Burke được xuất bản khi nào?","1812"
"Năm nào, hãng tàu Union Castle bắt đầu giảm dần các cuộc gọi dịch vụ của họ đến đảo?","1958"
"Sự ra đời của máy bay cánh cố định nặng hơn không khí vào năm nào?","1903"
"Hoàng đế Zhengtong trị vì bao nhiêu năm?","1435 Quay1449"
"Viện Kiến trúc sư Hoàng gia Anh trao Giải thưởng Stirling để làm gì?","toà nhà mới tốt nhất của năm"
"Tổng số tiền chuyển từ Tajik Migrans là bao nhiêu?","ước tính 2,1 tỷ đô la Mỹ"
"Ở một số sinh vật, các phân tử này được hấp thụ như thế nào?","những chất nhỏ hơn này được hấp thụ qua ruột non vào dòng máu"
"Điều gì không được phát triển tốt ở Peru?","Quyền công dân văn hoá"
"Schwarzenegger và Shriver đã có bao nhiêu đứa con?","bốn"
"Comcast cũng nói với Browns họ sẽ làm gì để khắc phục tình hình với việc đổi tên?","để theo dõi và sa thải nhân viên có trách nhiệm"
"Cuộc cách mạng Nga diễn ra khi nào?","1917"
"Mười hai hoặc nhiều loại cho chủng tộc và sắc tộc đã ở trong Tổng điều tra khi nào?","1990"
"Giáo đường Do Thái Stanmore và Canons Park của London đã vượt qua Hội đường Ilford của Luân Đôn về tư cách thành viên vào năm nào?","1998"
"Hệ thống chính trị của Anh có chức năng gì?","một đảng hai (đôi khi được gọi là hệ thống ""hai đảng rưỡi"")"
"Khi nào người ta bắt đầu đến lục địa châu Âu khi nào?","45.000 năm trước"
"Trường đại học nào đã trao cho Lee một bằng tiến sĩ danh dự năm 2006?","Notre Dame"
"Tên của phông chữ được sử dụng trước khi phát hành iPod Mini là gì?","Chicago"
"Bao nhiêu phần trăm người dân ở quận 19 sống dưới mức nghèo khổ?","Hai mươi lăm"
"Đạo luật chống độc quyền Sherman là nguồn gốc của cái gì?","tất cả các luật chống độc quyền của Mỹ."
"Làm thế nào mà Bristol Blenheim F.1 thực hiện chống lại máy bay Đức?","đã bị bắn hạ, chỉ với bốn khẩu súng máy 0,03 in (7,7 mm)"
"tên thật của ông Ngón tay là gì?","Larry Heard"
"Trong thị trường thứ cấp, máy ghi băng analog được xem là gì?","đắt và khan hiếm"
"Tổ chức chính trị nào ủng hộ ứng cử viên hội đồng thành phố của A. Carl Prince?","Cuộc thập tự chinh của Richmond cho cử tri"
"Ai đã kết thúc Đế chế Archaemenid bằng cuộc chinh phạt năm 330 trước Công nguyên?","Alexander Đại đế"
"Kanye đã nhận được bằng tiến sĩ danh dự từ tổ chức nào?","Art Institute of Chicago"
"NPO phải chi những loại tài sản nào để giữ trạng thái từ thiện?","tiền mặt, đầu tư và tài sản cố định"
"Khi nào Kievan Rus 'chấp nhận Kitô giáo?","988"
"Phương tây đã vận chuyển khoáng sản ở đâu","quặng sắt vào cuối thế kỷ 19; điều này đã được tuyến đường sắt khoáng sản West Somerset đưa tới cảng Watchet để vận chuyển đến các lò nung tại Ebbw Vale"
"Các nguyên nhân chính của mất ánh sáng là gì?","Mất ánh sáng là do bay hơi dây tóc và đen bóng đèn </"
"Thực thể nào vận hành Harborview?","Đại học Washington"
"Vào cuối giai đoạn nào các trường đại học sẽ trở nên giống với các trường đại học đương đại?","kết thúc thời kỳ đầu hiện đại"
"Phiên bản nào của Menu Wii đã ngăn chặn việc sao chép các tệp bị khai thác?","3.3 và 3.4"
"Khu vực đô thị lớn của Boston cũng được gọi là gì?","Greater Boston"
"Trường hợp trang trí thường không được tìm thấy trong kiến ​​trúc Georgia?","bên ngoài"
"Craig Venter và Francis Collins liên kết với tổ chức nào?","Viện Y tế Quốc gia"
"Những nghệ sĩ vĩ cầm nổi tiếng quốc tế đến từ Israel là gì?","Taiseer Elias"
"Mardi Gras dịch sang tiếng Pháp là gì?","Thứ ba béo"
"Định nghĩa sinh học của từ động vật đề cập đến tất cả các thành viên của vương quốc nào?","Animalia"
"Khi nào Đạo luật về Thực phẩm và Thuốc tinh khiết được thực thi?","1906"
"Khoảng thời gian Hoa Kỳ và Vương quốc Anh bắt đầu phát triển các phiên bản nghiên cứu văn hoá khác nhau?","cuối những năm 1970"
"Phần của hòn đảo được gọi là được bảo vệ khỏi biển bởi chính hòn đảo là gì?","leeward"
"Những lợi ích nào đã tấn công từ bên dưới cung cấp?","mục tiêu lớn hơn, so với tấn công bằng đuôi, cũng như cơ hội tốt hơn để không bị máy bay ném bom"
"Những gì quân đội tràn qua Đông Phổ?","Nga"
"Thành phố được xây dựng đầu tiên ở đâu?","trên một hòn đảo của hồ Texcoco"
"Điều gì được cho là cung cấp tốt hơn âm thanh của tần số cao hơn, đĩa compact hoặc bản ghi?","bản ghi vinyl"
"Người Pháp đã chịu bao nhiêu thương vong?","hơn 17.000 người"
"Một định nghĩa của văn học kết hợp phong cách và bản chất thơ của văn xuôi là gì?","chính thức"
"Trang web nào đã đưa ra lời khen ngợi quan trọng cho New Haven cho thực phẩm của thành phố?","Livability.com"
"Tên đầu tiên của những người đàn ông đã phát minh ra youtube là gì?","Hurley và Chen"
"Hiệp sĩ nổi tiếng nào đã bị John's malevolentia?","William Marshal"
"Cùng với Hamilton Glass và El Kamino, một nghệ sĩ vẽ tranh tường ở địa phương là ai?","Nils Westergard"
"Đảo nào ngoài St. Barts được Pháp cấp tình trạng COM vào năm 2007?","Saint Martin"
"Vào tháng Hai năm nào Công ước quốc gia đã bỏ phiếu để thoát khỏi chế độ nô lệ?","1794"
"Trong thập kỷ nào đã bắt đầu có rất nhiều giao thông ở Southampton?","1920"
"Anglo có thể nói đến người Mỹ gốc Âu không nói tiếng Anh nói tiếng Anh nhưng không nhất thiết là gì?","người gốc Anh"
"Bao nhiêu phần trăm thu hồi của bitum là bởi các giếng dầu?","80%"
"Vua Edward 3 đã làm gì","Edward III đã tuyên bố rằng ""thị trấn Bristol với các vùng ngoại ô và khu vực của nó sẽ tách biệt với các quận của Gloucester và Somerset"
"Sự thật cao quý thứ ba là sự chấm dứt hoàn toàn những gì có thể?","dukkha"
"Tiếng lóng vần điệu cho 'áo' là gì?","chồn"
"Ai đã viết Brihat-Samhita?","Varahamihira"
"MTP ban đầu được thiết kế để làm gì?","sử dụng với trình phát phương tiện di động"
"Khi nào các đỉnh Austroalpine trải qua sự kiện của họ?","Thời kỳ kỷ Phấn trắng"
"Vì hầu hết những người nói tiếng Hà Lan không bận tâm đến quy tắc hen / hun, cái nào trong hai loại thường được sử dụng nhất?","hun"
"Vị trí địa lý nào ở Eritrea đã định hình phần lớn văn hoá của Eritrea?","bờ Biển Đỏ"
"Thị trưởng thành phố Detroit năm 2011 là ai?","Thị trưởng Bing"
"Đô thị của Montevideo lần đầu tiên được tạo ra bởi một hành động pháp lý của những gì?","18 tháng 12 năm 1908"
"Những tên nào đã được sử dụng trong Hiệp ước Anh-Hà Lan năm 1814?","""Các tỉnh của Hà Lan"" và ""Hà Lan thống nhất"""
"Khi nào Maclean cố gắng bắn Victoria?","2 tháng 3 năm 1882"
"Hành động pháp lý nào đã khiến một số người dùng OtherOS bất mãn chống lại Sony?","vụ kiện hành động hạng"
"Những họ chim không di cư hoặc ít vận động nhưng được coi là phân tán, đột phá hoặc du mục?","Vẹt"
"Trạng thái oxy hoá nào chi phối hoá học của kẽm?","2"
"Người Anh đã sử dụng sự phát triển kinh doanh nào để thiết lập sự nắm giữ trên thị trường bông toàn cầu?","chuỗi thương mại"
"Phố Đông số 1 bắt đầu ngay phía Bắc Phố Đông Houston tại Đại lộ A và tiếp tục đến đâu?","Bowery"
"Những đặc điểm vật lý phổ biến trong kiến ​​trúc Hồi giáo?","cột, trụ và vòm"
"Định dạng Musican dựa trên cái gì?","mã hoá băng con"
"Công ty nào phát triển Donkey Kong Country?","Rare"
"Khi nào hỗ trợ HD 720p được thêm vào youtube?","Vào tháng 11 năm 2008"
"Việc sử dụng những gì gây ra sự kết thúc của việc sử dụng xe điện vào năm 1941?","trcarbus"
"Ibn Sina đã đi du lịch nước nào sau khi kết thúc triều đại Samanid?","Turkmenistan"
"Một trong những tổ chức được thành lập là gì vì Thoả thuận Thứ Sáu Tốt lành?","Hội đồng Ailen Anh"
"Loại phát xạ alpha nào là urani?","yếu"
"Parkwood Topshop Athletic Ltd sản xuất loại quần áo nào?","activewear"
"Tên của hai đĩa đơn mới của Madonna là gì?","""Crazy for You"" và ""Gambler"""
"Chương trình nào dành cho cư dân của Ann arbor?","Ann Arbor Open School"
"Mặt đường khảm được lắp đặt vào năm nào tại Nhà thờ Otranto?","1166"
"Tên ban đầu của Spectre là gì?","SPECTER"
"Tên của hoạt động kinh doanh của Viện Hoàng gia là gì?","RIBA Enterprises"
"Những gì Chunichi Dragons bắt đầu được ký kết với Cubs vào năm 2008?","Kosuke Fukudome"
"Tuyết rơi bao lâu ở Cork?","2 ngày"
"Tỷ lệ sinh trong các gia đình Do Thái chính thống là gì?","4,1"
"Độ tuổi trẻ nhất của một đứa trẻ làm việc trong một nhà máy là gì?","bốn"
"Một cách tiếp cận tập trung vào điểm nhấn mạnh mẽ những gì?","khối nhịp điệu"
"Khi nào hoá trang của penicillin được phát hiện?","1945"
"Cuộc thi capella nào phổ biến không dành riêng cho các nhóm đại học?","Rút thăm trúng thưởng Harmony"
"Quần thể dị ứng được phân tách như thế nào?","về mặt địa lý"
"Xung quanh có bao nhiêu nơi được đổi tên khi Đức quốc xã tiến vào Phổ?","1.5"
"Bao nhiêu phần trăm nền kinh tế của Kathmandu là thương mại?","21"
"Những lực lượng nào kiểm soát hầu hết Tennessee khi nô lệ được giải phóng?","Union"
"Ai mô tả đường dẫn là ""mandala của yếu tố liên kết hỗ trợ và kiểm duyệt lẫn nhau""?","Ajahn Sucitto"
"Ngôn ngữ chính thức của Đảo Norfolk là gì?","Ngôn ngữ Norfuk"
"Với kết thúc nhỏ gọn ""-tje"" được thêm vào từ tiếng Hà Lan có nghĩa là ""màu xanh lá cây"", sự hình thành mới dịch nghĩa gì trong tiếng Anh?","rookie"
"Tên của bộ phận thành phố New York vận hành hệ thống công viên là gì?","Sở Công viên và Giải trí Thành phố New York"
"Số lượng giáo sư tại Notre Dame tăng thêm bao nhiêu theo Malloy?","500"
"Lập luận chống lại việc trục xuất một gia đình Tuvaluan từ New Zealand là gì?","người tị nạn biến đổi khí hậu"
"Quảng cáo độc lập thường chứa cụm từ gì?","""[Tên tổ chức] chịu trách nhiệm về nội dung của quảng cáo này"""
"Các nhà phương pháp tin rằng Chúa Kitô đã đạt được sự cứu rỗi cho ai?","mỗi con người"
"Những người tự do trước đây đã thành lập Đảng Dân chủ Úc vào năm 1977?","Don Chipp"
"Có bao nhiêu sân vận động đã được chơi ở Premier League mùa giải 2015-16?","53"
"Sự hiện diện của Hoa Kỳ này đại diện cho điều gì trong một cuộc khủng hoảng nhân đạo?","quyết tâm và lòng trắc ẩn"
"Những khu vực trong Greater London có tình trạng thành phố?","Thành phố Luân Đôn và Thành phố Westminster"
"Trong Enuma Elish, sáng tạo được coi là sự kết hợp của?","nước ngọt và nước mặn"
"Sự khác biệt giữa tham nhũng là công khai hay riêng tư trông như thế nào?","nhân tạo"
"Những loại axit hình thành viên phân?","axit uric"
"Kể từ năm nào thuật ngữ này đã được sử dụng?","1652"
"Một trong những biệt danh của Thunders là gì?","OKC"
"Kẻ thống trị nào đã tấn công Valencia năm 1238?","Vua James I của Aragon"
"Điều gì có thể được điều chỉnh trong một mẫu chiết xuất tuỵ để sản xuất insulin tinh khiết hơn?","pH"
"Zbigniew Brzezinski và Malik Mohan xem xét quốc gia nào cũng là một cường quốc?","Ấn Độ"
"Hiệp ước Paris được ký kết khi nào?","30 tháng 3 năm 1856"
"Làm thế nào để kết cấu của các món ăn Eritrea so với các bữa ăn của người Ethiopia?","nhẹ hơn"
"Phiên bản iTunes nào được giới thiệu với khả năng mua trò chơi?","iTunes 7"
"Làm thế nào mà người Nhật cố gắng gây thương vong cao cho quân Đồng minh?","kamikaze"
"Tổ chức nào có trung tâm chấn thương cấp một?","OU Y học"
"Khi nào Tennessee chính thức bỏ phiếu để ly khai?","ngày 8 tháng 6 năm 1861"
"Trước pháp luật La Mã, các lĩnh vực luật học truyền thống được quyết định bởi cái gì?","luật tục"
"Corixids có khả năng giao tiếp với loại âm thanh nào?","dưới nước"
"Vào ngày nào thì trò chơi bóng đá tại nhà của Đức Bà xảy ra?","Thứ bảy"
"Cùng với lòng trung thành và danh dự, đức tính nào đã làm nên giá trị tinh hoa?","lòng can đảm"
"Điều gì đã làm khoảng cách rãnh gần hơn dẫn đến?","Âm lượng được ghi thấp hơn"
"Những gì còn lại trên sách sau khi chúng bị cai trị vi hiến?","đạo luật liên bang và tiểu bang"
"Ai tạo ra vị trí Bộ trưởng Điều phối Quốc phòng?","Stanley Baldwin"
"Trong thời đại lịch sử nào cuốn sách diễn ra?","Đại suy thoái"
"Điều gì đã hình thành nên những ngọn đồi của Munster và phần phía nam của xứ Wales?","Variscan orogeny"
"Cơ quan Hàng không Anh ban đầu có bao nhiêu sân bay thương mại?","tám"
"Các hiện vật, di tích động vật và cảnh quan thay đổi của con người là bằng chứng của?","đời sống văn hoá và vật chất của các xã hội trong quá khứ"
"Ai có số lượng người đóng góp chiến dịch cao nhất, vào quý cuối cùng của cuộc bầu cử sơ bộ?","John Kerry"
"Ai được phép ""nhập cảnh tạm thời"" vào lãnh thổ Nam Tư?","quân Liên Xô"
"So với dòng sông băng Ordovician, những viên băng trên Gondwana lớn như thế nào trong thời kỳ Silurian?","ít rộng hơn"
"Những gì được sử dụng để thu thập nước khi làm giấy bằng tay?","blotter"
"Khi nào là năm đầu tiên các câu lạc bộ đe doạ rời khỏi Liên đoàn bóng đá?","1988"
"Sở thích gì vô địch việc sử dụng tiếng Anh cổ?","Tái hiện lịch sử"
"Ai đã đưa ra các điều khoản hoà bình của Hội nghị Vienna cho người Nga?","Bá tước Karl von Buol"
"Những loại giấc ngủ liên quan đến giấc mơ?","Giấc ngủ REM"
"Khi nào bắt đầu phong trào hiện tượng kiến ​​trúc?","cuối những năm 1950 và 1960"
"Nhà hát Múa Quốc gia có thể được tìm thấy ở đâu?","Kanti Path"
"trong môi trường liên sao, hydro ở trạng thái nào?","trạng thái nguyên tử trung tính"
"Bước sóng nào được sử dụng để lấy dữ liệu từ đĩa CD?","780nm"
"Chủ nghĩa liên bang Mỹ cũng có thể được coi là ba bên vì sự hiện diện của những gì?","bảo lưu Ấn Độ"
"Tại sao một số nhà phê bình nói rằng Chopin quá tinh tế?","quen với việc đánh đàn piano của các nghệ sĩ địa phương"
"Những kiểu con của clitellate chứa giun đất?","oligochaetes"
"Điều gì chịu trách nhiệm cho việc duy trì sự tách biệt giữa khỉ đột và con người?","đầm lầy không thể trú ngụ"
"Ptomely tác giả văn bản thiên văn học có ảnh hưởng gì?","Almagest"
"Ai là cháu của leopold?","Hoàng tử Albert xứ Saxe-Coburg và Gotha"
"Những người trong Câu chuyện Canterbury Tales của Geoffrey Chauc bắt đầu cuộc hành hương của họ từ những gì thành lập London?","nhà trọ Tabard"
"Những biệt danh nào đã được sử dụng để hình thành các yếu tố bảo thủ và tự do?","Chirrines và Cuchas"
"Kỷ lục Guinness đã nói gì về Ramoji Film City vào năm 20015?","hãng phim lớn nhất thế giới"
"Moses được vận chuyển một cách kỳ diệu đến đâu?","Nhà nghiên cứu của Rabbi Akiva"
"Những triết lý có ảnh hưởng trong nhà thờ thời trung cổ đã trái ngược với chủ nghĩa duy tâm Kitô giáo?","chủ nghĩa kinh viện Aristoteles"
"Khi nào kênh đào Suez hoàn thành?","1869"
"Có bao nhiêu người sống ở thành phố?","hơn 10.000"
"Nhà thờ nào đầu tiên sử dụng các vòm nhọn trong hầm cao?","Nhà thờ lớn ở Anh"
"Điều gì đã bỏ phiếu OMB cho phép trong cuộc điều tra dân số năm 2000?","người tham gia chọn nhiều hơn một trong sáu loại có sẵn"
"Cuộc chiến nào ngăn chặn sự lây lan của các trường đại học trong thế kỷ 17?","Cuộc chiến ba mươi năm"
"Ai đã ám sát Abdirashid Ali Shermarke?","một trong những vệ sĩ của mình bắn chết"
"Tháng nào có lượng mưa lớn nhất?","tháng 7"
"Ai là người có công trong việc làm rõ và làm cho thuật ngữ humanitas trở nên phổ biến?","Cicero"
"Vai trò của Chúa trong việc tạo dựng thế giới là gì?","người ăn xin"
"Những gì cựu phó tổng thống Hoa Kỳ tốt nghiệp Đại học Yale?","John C. Calhoun"
"Làm thế nào để chuyển đổi giúp thực vật?","cung cấp một dạng nitơ dễ hấp thụ"
"Ai Cập sản xuất bao nhiêu dầu trong một ngày?","691.000 bbl / d"
"Raleigh cách Richmond bao xa?","155"
"Khu vực nào đã làm cho Cholas hợp nhất trong thế kỷ thứ 9?","Nam Ấn"
"Cơ quan nào quốc tế điều chỉnh điôxin?","Công ước Stockholm về chất ô nhiễm hữu cơ dai dẳng"
"Khi nào 'Fuga dal Bronx' được phát hành?","2005"
"Quy tắc Cambridge được soạn thảo lần đầu tiên vào năm nào?","1848"
"Ngôn ngữ nào được liên kết với chi nhánh phía tây của Iran?","tiếng Ba Tư cổ"
"Từ ""Neder"" dịch sang tiếng Anh là gì?","thấp"
"Những loại sản xuất thực phẩm trên toàn thế giới bây giờ?","phụ thuộc vào nông nghiệp"
"Ai là người cai trị thế giới ngầm ở Ai Cập cổ đại?","Osiris"
"Cùng với rau xanh khan hiếm, điều gì đã ảnh hưởng đến việc nấu ăn của Rajasthani?","khan hiếm nước"
"Tên cũ của TD Gardens là gì?","FleetCenter"
"Những thực hành đại học Eurpoean được coi là thích nghi từ madaris?","bằng cấp và tiến sĩ"
"Ai được xác nhận là chủ tịch của bang Chihuahua?","Luis Terrazas"
"Làm thế nào để mở rộng thời gian liên quan đến tính xác thực liên quan đến các phiên bản gốc và tiếp theo của văn bản?","khoảng cách thời gian lớn hơn giữa bản gốc và bản thảo có nghĩa là có nhiều thay đổi trong văn bản."
"Bao lâu trước khi thức dậy, nhiệt độ thấp nhất đạt được?","hai giờ"
"Cùng với kinh nghiệm, chức năng và nguồn gốc của cảm xúc, nghiên cứu hiện tại cố gắng giải thích khía cạnh nào của cảm xúc?","sinh học thần kinh"
"Có bao nhiêu trường hợp bệnh lao đã hoạt động trong suốt năm 2014?","9,6 triệu"
"Guinea-Bissau có bao nhiêu khu tự trị?","một"
"George VI đã ngừng sử dụng danh hiệu Hoàng đế Ấn Độ vào tháng nào và năm nào?","tháng 6 năm 1948"
"Có bao nhiêu phòng tắm?","78"
"Melbourne đã có bao nhiêu du khách quốc tế?","1,88 triệu"
"Ai là người sáng lập Cộng hoà Thổ Nhĩ Kỳ?","Mustafa Kemal"
"Phần nào dân số Bắc Carolina bị bắt làm nô lệ vào năm 1860?","một phần ba"
"Có bao nhiêu cõi tồn tại trong vòng luân hồi?","sáu"
"Văn phòng chi nhánh RIBA đầu tiên được mở tại thành phố nào?","Cambridge"
"Hai ngôn ngữ nào là ngôn ngữ chính của các ấn phẩm khoa học và văn học?","tiếng Pháp và tiếng Latin"
"Sản phẩm nào trở nên phổ biến ở Paris sau cái chết của Napoloen?","coffee"
"Thời đại Phanerozoic bao gồm khoảng thời gian nào?","540 triệu năm trước"
"Giá trị của dự án khí bị huỷ bỏ sẽ được xây dựng ở Louisiana là gì?","US $ 20 tỷ"
"Một nhiệm vụ toàn thời gian cho nam giới là bao lâu?","hai năm"
